date,actual,Naive,Seasonal Naive,Best ARIMA,Best ARIMAX,Best SARIMA,Best GARMA,Best GARMAX,Best SARIMAX
2025-06-08,67928.87491667,71629.25720833,70248.53175001,80105.35845071853,64969.66879422172,64513.62712865582,72744.36348826089,67818.24045081227,52216.15921826219
2025-06-09,78088.65041666,71629.25720833,74499.63329166,80115.99408013128,74574.93061645921,75024.41313657584,72720.80467998302,78467.28419879686,62498.592631722946
2025-06-10,78903.26245833,71629.25720833,71629.25720833,80126.62970954402,76160.84407920057,76588.2489406316,72708.1724615287,80156.54216170206,63995.06124304921
2025-06-11,77983.58625001,71629.25720833,66416.57704167,80137.26533895677,76473.51422497927,76463.49958934746,72714.38544523963,80393.67612452173,64184.75918084728
2025-06-12,76703.92458333,71629.25720833,75394.72508333,80147.90096836952,76417.96739558283,76876.14491698604,72734.33914103407,80181.13956966824,64124.49615343698
2025-06-13,75642.70620833,71629.25720833,77224.80237501,80158.53659778227,75919.53706182653,76302.17163482167,72753.7260458137,79548.04172499884,63569.84316627134
2025-06-14,70823.92420834,71629.25720833,74816.18320834,80169.17222719501,70327.98819113392,70020.5588837079,72759.35919428538,73350.26990959712,57295.15849116888
2025-06-15,65196.65049999,71629.25720833,70248.53175001,80179.80785660776,64787.215802096,64444.52420584211,72748.24392611612,67230.11726731421,51193.57298821743
2025-06-16,75580.99170833,71629.25720833,74499.63329166,80190.44348602051,74406.90809494267,74955.34408559048,72728.81409480407,77820.57992014846,61489.97238755932
2025-06-17,77080.94999999,71629.25720833,71629.25720833,80201.07911543325,76007.1604153155,76519.21376147459,72714.50750289911,79532.62663492351,63000.534574454345
2025-06-18,77198.09841666001,71629.25720833,66416.57704167,80211.714744846,76334.073419319,76394.49828201879,72714.65492810405,79809.87544618173,63204.446296926486
2025-06-19,72608.65424999999,71629.25720833,75394.72508333,80222.35037425875,76292.66956546006,76807.17748148572,72728.43478688391,79644.41126434124,63158.51000885902
2025-06-20,74656.29550000001,71629.25720833,77224.80237501,80232.9860036715,75808.27892887607,76233.2380711497,72745.76059403583,79055.08419270573,62618.28958349067
2025-06-21,69561.00933333,71629.25720833,74816.18320834,80243.62163308424,70230.66355193888,69951.65919186427,72754.64194598644,72935.51644236836,56358.136278383725
2025-06-22,65144.36991667,71629.25720833,70248.53175001,80254.25726249699,64703.71598047868,64375.65838582683,72749.55379356067,66889.23393461823,50271.1740527584
2025-06-23,76387.86779167,71629.25720833,74499.63329166,80264.89289190974,74337.12237463596,74886.51213740354,72734.70709083375,77469.12837171415,60582.28184443823
2025-06-24,77440.40800001001,71629.25720833,71629.25720833,80275.52852132249,75950.97645181038,76450.41568511601,72720.57059781493,79221.90161810402,62107.63084983937
2025-06-25,76077.83066667,71629.25720833,66416.57704167,80286.16415073523,76291.37762976516,76325.73407748855,72716.59100661699,79536.41392350462,62326.401226345864
2025-06-26,77475.62758334,71629.25720833,75394.72508333,80296.79978014798,76263.34749558225,76738.44714878383,72724.92907596265,79409.60092403505,62295.38892997228
2025-06-27,78116.39083332999,71629.25720833,77224.80237501,80307.43540956073,75792.21559595612,76164.54161027615,72739.26462654037,78873.3077718661,61770.15142330338
